23 R3A1_BGO1
24 R3A1_BGO2
25 R3A1_red
26 R3A1_green
27 R3A1_black
28 R3A1_blue
29 R3A2_BGO1
30 R3A2_BGO2
31 R3A2_red
32 R3A2_green
33 R3A2_black
34 R3A2_blue
35 R3A3_BGO1
36 R3A3_BGO2
37 R3A3_red
38 R3A3_green
39 R3A3_black
40 R3A3_blue
41 R3A4_BGO1
42 R3A4_BGO2
43 R3A4_red
44 R3A4_green
45 R3A4_black
46 R3A4_blue
47 R3A5_BGO1
48 R3A5_BGO2
49 R3A5_red
50 R3A5_green
51 R3A5_black
52 R3A5_blue
53 R3A6_BGO1
54 R3A6_BGO2
55 R3A6_red
56 R3A6_green
57 R3A6_black
58 R3A6_blue
59 R3A7_BGO1
60 R3A7_BGO2
61 R3A7_red
62 R3A7_green
63 R3A7_black
64 R3A7_blue
65 R3A8_BGO1
66 R3A8_BGO2
67 R3A8_red
68 R3A8_green
69 R3A8_black
70 R3A8_blue
71 R3A9_BGO1
72 R3A9_BGO2
73 R3A9_red
74 R3A9_green
75 R3A9_black
76 R3A9_blue
77 R3A10_BGO1
78 R3A10_BGO2
79 R3A10_red
80 R3A10_green
81 R3A10_black
82 R3A10_blue
83 R3A11_BGO1
84 R3A11_BGO2
85 R3A11_red
86 R3A11_green
87 R3A11_black
88 R3A11_blue
89 R3A12_BGO1
90 R3A12_BGO2
91 R3A12_red
92 R3A12_green
93 R3A12_black
94 R3A12_blue
95 R2A1_BGO1
96 R2A1_BGO2
97 R2A1_red
98 R2A1_green
99 R2A1_black
100 R2A1_blue
101 R2A2_BGO1
102 R2A2_BGO2
103 R2A2_red
104 R2A2_green
105 R2A2_black
106 R2A2_blue
107 R2A3_BGO1
108 R2A3_BGO2
109 R2A3_red
110 R2A3_green
111 R2A3_black
112 R2A3_blue
113 R2A4_BGO1
114 R2A4_BGO2
115 R2A4_red
116 R2A4_green
117 R2A4_black
118 R2A4_blue
119 R2A5_BGO1
120 R2A5_BGO2
121 R2A5_red
122 R2A5_green
123 R2A5_black
124 R2A5_blue
125 R2A6_BGO1
126 R2A6_BGO2
127 R2A6_red
128 R2A6_green
129 R2A6_black
130 R2A6_blue
131 R2A7_BGO1
132 R2A7_BGO2
133 R2A7_red
134 R2A7_green
135 R2A7_black
136 R2A7_blue
137 R2A8_BGO1
138 R2A8_BGO2
139 R2A8_red
140 R2A8_green
141 R2A8_black
142 R2A8_blue
143 R2A9_BGO1
144 R2A9_BGO2
145 R2A9_red
146 R2A9_green
147 R2A9_black
148 R2A9_blue
149 R2A10_BGO1
150 R2A10_BGO2
151 R2A10_red
152 R2A10_green
153 R2A10_black
154 R2A10_blue
155 R2A11_BGO1
156 R2A11_BGO2
157 R2A11_red
158 R2A11_green
159 R2A11_black
160 R2A11_blue
161 R2A12_BGO1
162 R2A12_BGO2
163 R2A12_red
164 R2A12_green
165 R2A12_black
166 R2A12_blue
200 R1A1_FATIMA_LaBr3
201 R1A2_FATIMA_LaBr3
202 R1A3_FATIMA_LaBr3
203 R1A4_FATIMA_LaBr3
204 R1A5_FATIMA_LaBr3
205 R1A6_FATIMA_LaBr3
206 R1A7_FATIMA_LaBr3
207 R1A8_FATIMA_LaBr3
208 R1A9_FATIMA_LaBr3
209 R1A10_FATIMA_LaBr3
210 R4A1_FATIMA_LaBr3
211 R4A2_FATIMA_LaBr3
212 R4A3_FATIMA_LaBr3
213 R4A4_FATIMA_LaBr3
214 R4A5_FATIMA_LaBr3
215 R4A6_FATIMA_LaBr3
216 R4A7_FATIMA_LaBr3
217 R4A8_FATIMA_LaBr3
218 R4A9_FATIMA_LaBr3
219 R4A10_FATIMA_LaBr3
251 RF
500 EDEN_Right
501 EDEN_Left
